ProductId,Area Code,Date,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,Product Name,Product Line,Product Type,Type,Market Size,Market,State,,,
8,312,1/1/2012,70,120,100,190,89,777,130,24,95,219,35,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,,,
9,630,1/1/2012,70,90,60,160,83,623,107,27,68,190,39,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,,,
10,773,1/1/2012,80,120,100,200,95,821,139,26,101,234,38,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,,,
11,217,1/1/2012,40,70,50,110,54,456,80,15,53,134,27,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Illinois,,,
12,708,1/1/2012,60,90,40,150,72,558,108,23,54,180,54,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Illinois,,,
1,319,1/1/2012,10,30,20,40,18,821,27,5,11,45,16,Amaretto,Beans,Coffee,Regular,Small Market,Central,Iowa,,,
2,641,1/1/2012,20,40,20,60,28,965,34,8,5,62,29,Columbian,Beans,Coffee,Regular,Small Market,Central,Iowa,,,
3,712,1/1/2012,20,30,20,50,23,623,31,7,12,54,19,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,Central,Iowa,,,
5,563,1/1/2012,10,40,30,50,17,777,26,4,11,43,15,Caffe Mocha,Beans,Espresso,Regular,Small Market,Central,Iowa,,,
6,563,1/1/2012,10,40,30,50,17,777,26,4,10,43,16,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Iowa,,,
8,641,1/1/2012,200,280,200,480,234,"1,310",312,77,202,546,110,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Iowa,,,
9,563,1/1/2012,80,120,90,200,95,608,139,30,86,234,53,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Iowa,,,
11,712,1/1/2012,190,210,140,400,228,"1,459",228,63,141,456,87,Darjeeling,Leaves,Tea,Regular,Small Market,Central,Iowa,,,
12,319,1/1/2012,210,270,160,480,245,"1,419",301,93,175,546,126,Earl Grey,Leaves,Tea,Regular,Small Market,Central,Iowa,,,
2,636,1/1/2012,90,100,40,190,85,494,105,32,39,190,66,Columbian,Beans,Coffee,Regular,Small Market,Central,Missouri,,,
3,573,1/1/2012,80,90,50,170,78,965,92,24,47,170,45,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,Central,Missouri,,,
13,417,1/1/2012,20,40,0,60,34,197,42,12,-4,76,46,Green Tea,Leaves,Tea,Regular,Small Market,Central,Missouri,,,
5,573,1/1/2012,50,90,70,140,50,821,73,14,48,123,25,Caffe Mocha,Beans,Espresso,Regular,Small Market,Central,Missouri,,,
6,660,1/1/2012,50,80,60,130,46,777,68,12,45,114,23,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Missouri,,,
8,573,1/1/2012,30,40,0,70,37,261,53,34,-11,90,64,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,,,
9,314,1/1/2012,70,10,-20,80,88,525,11,27,-39,99,50,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Missouri,,,
11,314,1/1/2012,30,40,10,70,35,196,47,11,9,82,38,Darjeeling,Leaves,Tea,Regular,Small Market,Central,Missouri,,,
12,573,1/1/2012,20,30,-10,50,29,169,36,11,-9,65,45,Earl Grey,Leaves,Tea,Regular,Small Market,Central,Missouri,,,
1,740,1/1/2012,60,80,50,140,60,336,80,19,34,140,46,Amaretto,Beans,Coffee,Regular,Major Market,Central,Ohio,,,
2,614,1/1/2012,60,80,50,140,57,364,83,18,42,140,41,Columbian,Beans,Coffee,Regular,Major Market,Central,Ohio,,,
3,614,1/1/2012,60,90,20,150,63,435,87,57,0,150,87,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,Central,Ohio,,,
12,216,1/1/2012,70,100,60,170,84,500,116,26,67,200,49,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Ohio,,,
6,614,1/1/2012,60,90,40,150,58,338,72,22,16,130,56,Decaf Espresso,Beans,Espresso,Decaf,Major Market,Central,Ohio,,,
5,614,1/1/2012,190,210,140,400,170,"1,091",171,47,99,341,72,Caffe Mocha,Beans,Espresso,Regular,Major Market,Central,Ohio,,,
8,937,1/1/2012,20,50,50,70,32,456,48,8,29,80,19,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,Central,Ohio,,,
9,740,1/1/2012,20,50,50,70,32,821,48,8,29,80,19,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Ohio,,,
11,567,1/1/2012,70,110,60,180,84,651,126,27,68,210,58,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Ohio,,,
1,262,1/1/2012,50,70,30,120,54,312,66,20,13,120,53,Amaretto,Beans,Coffee,Regular,Small Market,Central,Wisconsin,,,
2,262,1/1/2012,80,110,20,190,79,551,111,72,9,190,102,Columbian,Beans,Coffee,Regular,Small Market,Central,Wisconsin,,,
3,414,1/1/2012,80,100,60,180,77,432,103,25,51,180,52,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,Central,Wisconsin,,,
12,262,1/1/2012,60,90,10,150,75,522,105,68,7,180,98,Earl Grey,Leaves,Tea,Regular,Small Market,Central,Wisconsin,,,
6,262,1/1/2012,50,70,50,120,48,623,62,15,34,110,28,Decaf Espresso,Beans,Espresso,Decaf,Small Market,Central,Wisconsin,,,
5,414,1/1/2012,80,90,50,170,69,965,81,21,38,150,43,Caffe Mocha,Beans,Espresso,Regular,Small Market,Central,Wisconsin,,,
8,715,1/1/2012,50,100,80,150,67,400,113,20,70,180,43,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,Central,Wisconsin,,,
9,715,1/1/2012,20,50,50,70,33,777,48,9,28,81,20,Lemon,Leaves,Herbal Tea,Decaf,Small Market,Central,Wisconsin,,,
11,608,1/1/2012,50,80,50,130,61,390,89,19,47,150,42,Darjeeling,Leaves,Tea,Regular,Small Market,Central,Wisconsin,,,
11,475,1/1/2012,50,80,60,130,50,821,73,14,47,123,26,Darjeeling,Leaves,Tea,Regular,Small Market,East,Connecticut,,,
13,475,1/1/2012,40,60,40,100,38,777,56,10,35,94,21,Green Tea,Leaves,Tea,Regular,Small Market,East,Connecticut,,,
6,475,1/1/2012,50,70,40,120,55,312,75,18,30,130,45,Decaf Espresso,Beans,Espresso,Decaf,Small Market,East,Connecticut,,,
5,860,1/1/2012,70,100,20,170,75,522,105,68,7,180,98,Caffe Mocha,Beans,Espresso,Regular,Small Market,East,Connecticut,,,
2,475,1/1/2012,110,180,130,290,124,961,186,40,115,310,71,Columbian,Beans,Coffee,Regular,Small Market,East,Connecticut,,,
9,860,1/1/2012,60,80,40,140,85,494,105,32,40,190,65,Lemon,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,,,
10,475,1/1/2012,50,80,50,130,78,965,92,24,47,170,45,Mint,Leaves,Herbal Tea,Decaf,Small Market,East,Connecticut,,,
11,954,1/1/2012,30,50,40,80,32,821,48,8,28,80,20,Darjeeling,Leaves,Tea,Regular,Major Market,East,Florida,,,
13,754,1/1/2012,30,50,40,80,33,777,48,9,28,81,20,Green Tea,Leaves,Tea,Regular,Major Market,East,Florida,,,
6,754,1/1/2012,70,100,60,170,77,432,103,25,50,180,53,Decaf Espresso,Beans,Espresso,Decaf,Major Market,East,Florida,,,
5,239,1/1/2012,70,110,30,180,79,551,111,72,9,190,102,Caffe Mocha,Beans,Espresso,Regular,Major Market,East,Florida,,,
3,754,1/1/2012,80,110,70,190,84,500,116,26,67,200,49,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,East,Florida,,,
2,954,1/1/2012,80,110,70,190,84,651,126,27,68,210,58,Columbian,Beans,Coffee,Regular,Major Market,East,Florida,,,
8,863,1/1/2012,30,50,30,80,48,623,62,15,34,110,28,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,,,
9,239,1/1/2012,40,50,20,90,54,312,66,20,13,120,53,Lemon,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,,,
10,772,1/1/2012,50,60,40,110,69,965,81,21,39,150,42,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,Florida,,,
11,508,1/1/2012,30,50,40,80,32,821,48,8,29,80,19,Darjeeling,Leaves,Tea,Regular,Major Market,East,Massachusetts,,,
13,781,1/1/2012,30,50,40,80,32,456,48,8,29,80,19,Green Tea,Leaves,Tea,Regular,Major Market,East,Massachusetts,,,
7,978,1/1/2012,160,170,110,330,170,"1,091",171,47,100,341,71,Regular Espresso,Beans,Espresso,Regular,Major Market,East,Massachusetts,,,
5,781,1/1/2012,60,60,-10,120,63,435,63,57,-23,126,86,Caffe Mocha,Beans,Espresso,Regular,Major Market,East,Massachusetts,,,
2,413,1/1/2012,60,400,360,460,72,558,422,23,367,494,55,Columbian,Beans,Coffee,Regular,Major Market,East,Massachusetts,,,
9,339,1/1/2012,40,60,30,100,58,338,72,22,17,130,55,Lemon,Leaves,Herbal Tea,Decaf,Major Market,East,Massachusetts,,,
11,603,1/1/2012,10,30,20,40,18,821,27,5,10,45,17,Darjeeling,Leaves,Tea,Regular,Small Market,East,New Hampshire,,,
13,603,1/1/2012,10,30,20,40,17,777,26,4,11,43,15,Green Tea,Leaves,Tea,Regular,Small Market,East,New Hampshire,,,
7,603,1/1/2012,20,40,0,60,29,169,36,11,-8,65,44,Regular Espresso,Beans,Espresso,Regular,Small Market,East,New Hampshire,,,
5,603,1/1/2012,30,50,0,80,37,261,53,34,-10,90,63,Caffe Mocha,Beans,Espresso,Regular,Small Market,East,New Hampshire,,,
1,603,1/1/2012,30,50,30,80,38,241,55,12,20,93,35,Amaretto,Beans,Coffee,Regular,Small Market,East,New Hampshire,,,
2,603,1/1/2012,40,70,40,110,48,372,72,15,25,120,47,Columbian,Beans,Coffee,Regular,Small Market,East,New Hampshire,,,
9,603,1/1/2012,20,30,0,50,34,197,42,12,-4,76,46,Lemon,Leaves,Herbal Tea,Decaf,Small Market,East,New Hampshire,,,
11,347,1/1/2012,100,150,120,250,95,821,139,26,101,234,38,Darjeeling,Leaves,Tea,Regular,Major Market,East,New York,,,
12,646,1/1/2012,90,140,110,230,89,777,130,24,94,219,36,Earl Grey,Leaves,Tea,Regular,Major Market,East,New York,,,
13,347,1/1/2012,50,90,70,140,54,456,80,15,54,134,26,Green Tea,Leaves,Tea,Regular,Major Market,East,New York,,,
7,631,1/1/2012,210,270,200,480,228,"1,459",262,63,175,490,87,Regular Espresso,Beans,Espresso,Regular,Major Market,East,New York,,,
5,315,1/1/2012,100,-50,-170,50,105,725,-44,95,-172,61,128,Caffe Mocha,Beans,Espresso,Regular,Major Market,East,New York,,,
2,716,1/1/2012,260,380,260,640,271,"2,101",407,94,262,678,145,Columbian,Beans,Coffee,Regular,Major Market,East,New York,,,
9,607,1/1/2012,180,190,100,370,245,"1,419",238,93,111,483,127,Lemon,Leaves,Herbal Tea,Decaf,Major Market,East,New York,,,
10,845,1/1/2012,150,-10,-70,140,207,965,-27,64,-113,180,86,Mint,Leaves,Herbal Tea,Decaf,Major Market,East,New York,,,
5,337,1/1/2012,50,100,80,150,67,400,113,20,70,180,43,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,Louisiana,,,
6,337,1/1/2012,50,70,50,120,61,390,89,19,48,150,41,Decaf Espresso,Beans,Espresso,Decaf,Small Market,South,Louisiana,,,
8,337,1/1/2012,40,60,40,100,49,623,63,16,35,112,28,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,South,Louisiana,,,
9,504,1/1/2012,80,100,40,180,85,494,105,32,40,190,65,Lemon,Leaves,Herbal Tea,Decaf,Small Market,South,Louisiana,,,
4,504,1/1/2012,60,90,10,150,75,522,105,68,8,180,97,Caffe Latte,Beans,Espresso,Regular,Small Market,South,Louisiana,,,
2,225,1/1/2012,40,60,50,100,34,777,51,9,30,85,21,Columbian,Beans,Coffee,Regular,Small Market,South,Louisiana,,,
3,985,1/1/2012,40,60,50,100,33,777,48,9,28,81,20,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Louisiana,,,
5,505,1/1/2012,30,40,-10,70,37,261,53,34,-10,90,63,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,New Mexico,,,
6,505,1/1/2012,30,40,10,70,35,196,47,11,9,82,38,Decaf Espresso,Beans,Espresso,Decaf,Small Market,South,New Mexico,,,
8,505,1/1/2012,10,30,20,40,18,821,27,5,11,45,16,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,South,New Mexico,,,
9,505,1/1/2012,20,40,20,60,28,965,34,8,4,62,30,Lemon,Leaves,Herbal Tea,Decaf,Small Market,South,New Mexico,,,
4,505,1/1/2012,20,30,0,50,29,169,36,11,-8,65,44,Caffe Latte,Beans,Espresso,Regular,Small Market,South,New Mexico,,,
2,505,1/1/2012,60,90,50,150,48,372,72,15,26,120,46,Columbian,Beans,Coffee,Regular,Small Market,South,New Mexico,,,
3,505,1/1/2012,110,10,-30,120,88,525,11,27,-39,99,50,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,New Mexico,,,
5,405,1/1/2012,20,40,40,60,32,456,48,8,28,80,20,Caffe Mocha,Beans,Espresso,Regular,Small Market,South,Oklahoma,,,
6,405,1/1/2012,70,110,70,180,84,651,126,27,67,210,59,Decaf Espresso,Beans,Espresso,Decaf,Small Market,South,Oklahoma,,,
8,918,1/1/2012,50,60,20,110,54,312,66,20,13,120,53,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,South,Oklahoma,,,
9,580,1/1/2012,70,110,30,180,79,551,111,72,10,190,101,Lemon,Leaves,Herbal Tea,Decaf,Small Market,South,Oklahoma,,,
4,405,1/1/2012,70,100,70,170,84,500,116,26,66,200,50,Caffe Latte,Beans,Espresso,Regular,Small Market,South,Oklahoma,,,
2,580,1/1/2012,50,70,50,120,44,623,56,14,29,100,27,Columbian,Beans,Coffee,Regular,Small Market,South,Oklahoma,,,
3,580,1/1/2012,40,60,50,100,32,821,48,8,28,80,20,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,South,Oklahoma,,,
8,430,1/8/2012,40,60,30,100,46,415,62,15,19,108,43,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,,,
9,281,1/8/2012,30,50,30,80,34,428,51,10,19,85,32,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,,,
9,281,1/7/2012,30,50,30,80,34,432,51,10,19,85,32,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,,,
9,409,1/6/2012,30,60,30,90,38,414,55,12,20,93,35,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,,,
8,903,1/7/2012,40,60,30,100,47,420,63,15,20,110,43,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,,,
8,832,1/6/2012,40,70,40,110,50,397,68,16,24,118,44,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,,,
9,214,1/12/2012,30,60,30,90,41,435,60,13,24,101,36,Lemon,Leaves,Herbal Tea,Decaf,Major Market,South,Texas,,,
4,435,1/1/2012,40,60,40,100,46,777,68,12,44,114,24,Caffe Latte,Beans,Espresso,Regular,Small Market,West,Utah,,,
5,435,1/1/2012,40,60,40,100,49,623,63,16,34,112,29,Caffe Mocha,Beans,Espresso,Regular,Small Market,West,Utah,,,
6,435,1/1/2012,40,70,50,110,50,821,73,14,47,123,26,Decaf Espresso,Beans,Espresso,Decaf,Small Market,West,Utah,,,
8,801,1/1/2012,30,50,30,80,38,241,55,12,21,93,34,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,,,
9,435,1/1/2012,40,60,30,100,48,372,72,15,25,120,47,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,,,
10,435,1/1/2012,70,10,-30,80,88,525,11,27,-40,99,51,Mint,Leaves,Herbal Tea,Decaf,Small Market,West,Utah,,,
11,435,1/1/2012,20,40,0,60,37,261,53,34,-10,90,63,Darjeeling,Leaves,Tea,Regular,Small Market,West,Utah,,,
12,435,1/1/2012,20,30,10,50,35,196,47,11,9,82,38,Earl Grey,Leaves,Tea,Regular,Small Market,West,Utah,,,
13,435,1/1/2012,10,30,10,40,29,169,36,11,-9,65,45,Green Tea,Leaves,Tea,Regular,Small Market,West,Utah,,,
1,801,1/1/2012,90,120,80,210,78,965,92,24,47,170,45,Amaretto,Beans,Coffee,Regular,Small Market,West,Utah,,,
2,435,1/1/2012,60,100,70,160,55,312,75,18,30,130,45,Columbian,Beans,Coffee,Regular,Small Market,West,Utah,,,
3,801,1/1/2012,100,130,70,230,85,494,105,32,39,190,66,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,West,Utah,,,
4,661,1/1/2012,210,220,150,430,228,"1,459",228,63,140,456,88,Caffe Latte,Beans,Espresso,Regular,Major Market,West,California,,,
5,818,1/1/2012,100,140,20,240,105,725,145,95,17,250,128,Caffe Mocha,Beans,Espresso,Regular,Major Market,West,California,,,
6,213,1/1/2012,220,300,200,520,234,"1,310",312,77,203,546,109,Decaf Espresso,Beans,Espresso,Decaf,Major Market,West,California,,,
8,510,1/1/2012,80,120,100,200,95,821,139,26,102,234,37,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,West,California,,,
9,310,1/1/2012,170,220,160,390,207,965,245,64,160,452,85,Lemon,Leaves,Herbal Tea,Decaf,Major Market,West,California,,,
10,707,1/1/2012,70,90,60,160,83,623,107,27,67,190,40,Mint,Leaves,Herbal Tea,Decaf,Major Market,West,California,,,
11,619,1/1/2012,50,90,80,140,89,777,130,24,94,219,36,Darjeeling,Leaves,Tea,Regular,Major Market,West,California,,,
12,650,1/1/2012,30,60,60,90,54,456,80,15,54,134,26,Earl Grey,Leaves,Tea,Regular,Major Market,West,California,,,
13,760,1/1/2012,40,80,50,120,72,558,108,23,54,180,54,Green Tea,Leaves,Tea,Regular,Major Market,West,California,,,
1,916,1/1/2012,110,70,30,180,95,608,50,30,-2,145,52,Amaretto,Beans,Coffee,Regular,Major Market,West,California,,,
2,559,1/1/2012,340,500,370,840,271,"2,101",407,94,262,678,145,Columbian,Beans,Coffee,Regular,Major Market,West,California,,,
3,650,1/1/2012,180,-40,-120,140,144,862,-26,47,-117,118,91,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,West,California,,,
4,775,1/1/2012,10,30,20,40,17,777,26,4,11,43,15,Caffe Latte,Beans,Espresso,Regular,Small Market,West,Nevada,,,
5,702,1/1/2012,10,30,20,40,18,821,27,5,10,45,17,Caffe Mocha,Beans,Espresso,Regular,Small Market,West,Nevada,,,
6,775,1/1/2012,10,30,20,40,17,777,26,4,11,43,15,Decaf Espresso,Beans,Espresso,Decaf,Small Market,West,Nevada,,,
3,775,1/1/2012,30,40,20,70,28,965,34,8,4,62,30,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,West,Nevada,,,
8,702,1/1/2012,90,130,30,220,105,725,145,95,16,250,129,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Nevada,,,
9,775,1/1/2012,120,180,120,300,144,862,201,47,111,345,90,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Nevada,,,
10,702,1/1/2012,80,120,90,200,95,608,139,30,86,234,53,Mint,Leaves,Herbal Tea,Decaf,Small Market,West,Nevada,,,
11,775,1/1/2012,150,220,150,370,234,"1,310",312,77,203,546,109,Darjeeling,Leaves,Tea,Regular,Small Market,West,Nevada,,,
12,775,1/1/2012,150,160,100,310,228,"1,459",228,63,141,456,87,Earl Grey,Leaves,Tea,Regular,Small Market,West,Nevada,,,
13,702,1/1/2012,160,-160,-240,0,245,"1,419",-245,93,-354,17,126,Green Tea,Leaves,Tea,Regular,Small Market,West,Nevada,,,
2,702,1/1/2012,40,50,10,90,34,197,42,12,-3,76,45,Columbian,Beans,Coffee,Regular,Small Market,West,Nevada,,,
4,503,1/1/2012,50,70,20,120,58,338,72,22,16,130,56,Caffe Latte,Beans,Espresso,Regular,Small Market,West,Oregon,,,
5,503,1/1/2012,50,80,50,130,60,336,80,19,33,140,47,Caffe Mocha,Beans,Espresso,Regular,Small Market,West,Oregon,,,
6,971,1/1/2012,160,160,100,320,170,"1,091",171,47,99,341,72,Decaf Espresso,Beans,Espresso,Decaf,Small Market,West,Oregon,,,
3,971,1/1/2012,70,100,70,170,57,364,83,18,42,140,41,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,West,Oregon,,,
8,971,1/1/2012,30,40,40,70,36,777,54,10,33,90,21,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Oregon,,,
9,503,1/1/2012,30,50,30,80,44,623,56,14,29,100,27,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Oregon,,,
11,971,1/1/2012,20,30,30,50,32,456,48,8,28,80,20,Darjeeling,Leaves,Tea,Regular,Small Market,West,Oregon,,,
12,503,1/1/2012,50,90,60,140,84,651,126,27,68,210,58,Earl Grey,Leaves,Tea,Regular,Small Market,West,Oregon,,,
13,541,1/1/2012,50,80,50,130,84,500,116,26,67,200,49,Green Tea,Leaves,Tea,Regular,Small Market,West,Oregon,,,
1,541,1/1/2012,70,110,40,180,63,435,87,57,1,150,86,Amaretto,Beans,Coffee,Regular,Small Market,West,Oregon,,,
2,503,1/1/2012,80,120,60,200,67,400,93,22,28,160,65,Columbian,Beans,Coffee,Regular,Small Market,West,Oregon,,,
4,425,1/1/2012,40,60,40,100,48,623,62,15,35,110,27,Caffe Latte,Beans,Espresso,Regular,Small Market,West,Washington,,,
5,253,1/1/2012,50,60,20,110,54,312,66,20,13,120,53,Caffe Mocha,Beans,Espresso,Regular,Small Market,West,Washington,,,
6,206,1/1/2012,60,80,60,140,69,965,81,21,39,150,42,Decaf Espresso,Beans,Espresso,Decaf,Small Market,West,Washington,,,
3,509,1/1/2012,90,140,60,230,79,551,111,72,9,190,102,Decaf Irish Cream,Beans,Coffee,Decaf,Small Market,West,Washington,,,
8,206,1/1/2012,100,170,120,270,124,961,186,40,115,310,71,Chamomile,Leaves,Herbal Tea,Decaf,Small Market,West,Washington,,,
9,360,1/1/2012,20,50,50,70,34,777,51,9,30,85,21,Lemon,Leaves,Herbal Tea,Decaf,Small Market,West,Washington,,,
11,360,1/1/2012,40,80,50,120,67,400,113,20,70,180,43,Darjeeling,Leaves,Tea,Regular,Small Market,West,Washington,,,
12,253,1/1/2012,40,60,40,100,61,390,89,19,48,150,41,Earl Grey,Leaves,Tea,Regular,Small Market,West,Washington,,,
13,360,1/1/2012,40,80,20,120,75,522,105,68,8,180,97,Green Tea,Leaves,Tea,Regular,Small Market,West,Washington,,,
2,206,1/1/2012,60,100,70,160,53,338,77,16,38,130,39,Columbian,Beans,Coffee,Regular,Small Market,West,Washington,,,
1,303,1/2/2012,100,150,120,250,99,766,144,27,105,243,39,Amaretto,Beans,Coffee,Regular,Major Market,Central,Colorado,,,
2,720,1/2/2012,80,110,80,190,83,613,107,27,68,190,39,Columbian,Beans,Coffee,Regular,Major Market,Central,Colorado,,,
3,719,1/2/2012,100,140,110,240,95,809,137,26,99,232,38,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,Central,Colorado,,,
13,970,1/2/2012,30,50,30,80,44,618,56,14,30,100,26,Green Tea,Leaves,Tea,Regular,Major Market,Central,Colorado,,,
5,970,1/2/2012,80,140,110,220,77,449,112,21,80,189,32,Caffe Mocha,Beans,Espresso,Regular,Major Market,Central,Colorado,,,
6,303,1/2/2012,80,140,90,220,75,549,114,24,59,189,55,Decaf Espresso,Beans,Espresso,Decaf,Major Market,Central,Colorado,,,
8,970,1/2/2012,140,150,100,290,170,"1,073",170,47,99,340,71,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,,,
9,970,1/2/2012,40,70,10,110,54,427,75,49,-3,129,78,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,,,
10,303,1/2/2012,50,70,40,120,60,329,80,19,33,140,47,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Colorado,,,
11,719,1/2/2012,50,60,10,110,59,331,73,22,18,132,55,Darjeeling,Leaves,Tea,Regular,Major Market,Central,Colorado,,,
12,720,1/2/2012,50,60,30,110,62,958,74,19,34,136,40,Earl Grey,Leaves,Tea,Regular,Major Market,Central,Colorado,,,
2,312,1/2/2012,150,220,140,370,148,844,206,48,115,354,91,Columbian,Beans,Coffee,Regular,Major Market,Central,Illinois,,,
3,847,1/2/2012,110,150,100,260,104,596,150,33,95,254,55,Decaf Irish Cream,Beans,Coffee,Decaf,Major Market,Central,Illinois,,,
5,708,1/2/2012,270,370,260,640,234,"1,282",311,77,201,545,110,Caffe Mocha,Beans,Espresso,Regular,Major Market,Central,Illinois,,,
6,312,1/2/2012,260,270,180,530,228,"1,436",229,63,142,457,87,Decaf Espresso,Beans,Espresso,Decaf,Major Market,Central,Illinois,,,
8,815,1/2/2012,80,130,110,210,99,766,144,27,105,243,39,Chamomile,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,,,
9,773,1/2/2012,70,90,60,160,83,613,107,27,68,190,39,Lemon,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,,,
10,847,1/2/2012,80,120,100,200,95,809,137,26,99,232,38,Mint,Leaves,Herbal Tea,Decaf,Major Market,Central,Illinois,,,
